,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
2,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,7.800000190734863,1.0,21.239601134652276,1.0,21.266000747680664,1.0,35.74906416544116,1.0,35.58100128173828,1.0,220.7213592529297,1.0,-0.5944586396217346,1.0,8.070192337036133,1.0,130.32278936128296
4,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,11.800000190734863,1.0,21.238827707932913,1.0,21.266000747680664,1.0,35.74906105906307,1.0,35.58100128173828,1.0,220.62986755371094,1.0,-0.7474188208580017,1.0,8.069441795349121,1.0,130.32278936128296
6,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,15.800000190734863,1.0,21.230985353210936,1.0,21.259000778198242,1.0,35.75105694777811,1.0,35.58300018310547,1.0,220.52365112304688,1.0,-0.7433998584747314,1.0,8.069372177124023,1.0,130.32278936128296
9,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,21.799999237060547,1.0,21.19351267337074,1.0,21.222999572753906,1.0,35.760091611071964,1.0,35.59199905395508,1.0,220.2156219482422,1.0,-0.76369309425354,1.0,8.067466735839844,1.0,130.32278936128296
11,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,25.799999237060547,1.0,21.175700770482678,1.0,21.20599937438965,1.0,35.761097192927295,1.0,35.59299850463867,1.0,219.90992736816406,1.0,-0.7692767977714539,1.0,8.066362380981445,1.0,130.32278936128296
14,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,31.799999237060547,1.0,21.10655547278799,1.0,21.13800048828125,1.0,35.76010618857508,1.0,35.59199905395508,1.0,220.1031036376953,1.0,-0.6510025262832642,1.0,8.065316200256348,1.0,130.32278936128296
16,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,35.79999923706055,1.0,21.053837064669978,1.0,21.086000442504883,1.0,35.7580863326375,1.0,35.59000015258789,1.0,220.55003356933594,1.0,-0.7036640048027039,1.0,8.066862106323242,1.0,130.32278936128296
19,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,41.79999923706055,1.0,21.04568079818378,1.0,21.07900047302246,1.0,35.758098240136874,1.0,35.59000015258789,1.0,220.32994079589844,1.0,-0.7315007448196411,1.0,8.066251754760742,1.0,130.32278936128296
21,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,45.79999923706055,1.0,21.04291042966714,1.0,21.07699966430664,1.0,35.758087697994505,1.0,35.59000015258789,1.0,220.10769653320312,1.0,-0.6913334131240845,1.0,8.065638542175293,1.0,130.32278936128296
24,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,51.79999923706055,1.0,21.0347222623437,1.0,21.06999969482422,1.0,35.759087580642365,1.0,35.590999603271484,1.0,219.61988830566406,1.0,-0.48000988364219666,1.0,8.065871238708496,1.0,130.32278936128296
